custom_id,paper_id,status_code,request_id,model,parse_status,api_error_message,parse_error,paper_type_primary,paper_type_empirical,paper_type_experimental,relevance_pgg_or_variant,relevance_punishment_or_sanctions,relevance_efficiency_or_related_payoff_outcome,outcomes_primary_outcome_type,outcomes_payoff_related_outcomes,outcomes_non_payoff_outcomes,outcomes_notes,overall_effect_direction_on_efficiency_or_related_payoff,overall_summary,paper_findings,decision_support,dimension_count,dimension_contextual_or_better_count,dimension_informative_direct_count,key_claim_count,important_limitation_count
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,200,548d40d4-f31e-4a80-a430-c1d4710e0732,gpt-4.1-2025-04-14,ok,,,theory,N/A,N/A,adjacent,exact,adjacent,non_payoff_behavior,,probability of law violation (driver's compliance/violation rate) | probability of police patrol | oscillation and convergence to equilibrium in violation and patrol rates | amplitude of behavioral fluctuations,"The paper focuses on behavioral outcomes (violation and patrol rates) in a two-player mixed-strategy game (police vs. driver), using system dynamics modeling. No explicit group payoff, efficiency, or welfare outcomes are reported. The analysis is about compliance and enforcement dynamics, not aggregate payoffs.",N/A,"This paper uses a system dynamics model to analyze a mixed-strategy game between police and drivers, focusing on the effects of penalty increases on law violation rates. It challenges the game-theoretic equilibrium prediction that penalty increases do not reduce violation rates, showing instead that penalty increases can temporarily reduce violations and that penalty management can reduce behavioral fluctuations. However, the outcomes are behavioral (violation and patrol rates), not efficiency or group payoff.","The paper finds that, contrary to standard game-theoretic equilibrium predictions, increasing penalties for law violations can induce temporary compliance (reduced violation rates) among drivers, even if the long-run equilibrium violation rate is unchanged. The system dynamics model shows that the path to equilibrium is slow and oscillatory, so transient effects of penalty increases are significant and may be policy-relevant. Automatic penalty management (adjusting penalties in response to observed violation rates) can further reduce the amplitude of behavioral fluctuations. Information delays between players can prolong or even prevent convergence to equilibrium, making penalty management more effective in stabilizing behavior. The findings are about behavioral compliance, not aggregate payoffs or efficiency.","This paper does not directly inform predictions about efficiency or group payoff in public-goods-game-like environments, as it models a two-player (police vs. driver) enforcement game with behavioral outcomes (violation and patrol rates) rather than group payoffs. However, it provides indirect evidence that punishment (penalty) increases can have significant transient effects on compliance, even if equilibrium analysis suggests no effect. For prediction tasks involving dynamic or transient effects of punishment, or where compliance rates are a proxy for efficiency, the findings suggest that punishment can be effective in the short run and that adaptive punishment management can stabilize behavior. The model is not a PGG or direct variant, so transfer to PGG efficiency predictions should be cautious and limited to qualitative insights about the dynamics of punishment and compliance.",14,5,5,4,5
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,200,05f80772-a001-49f1-b793-e19e7a3b64e2,gpt-4.1-2025-04-14,ok,,,theory,N/A,N/A,close,exact,exact,efficiency_or_payoff,absolute fitness (accumulated payoffs from repeated PD play) | relative fitness (share of total payoffs in the population) | group productivity | population-wide average fitness,strategy stability (evolutionary/collective stability of TFT/NTFT) | frequency of cooperation/defection | scope of spite,"The paper is theoretical and analyzes evolutionary stability in terms of absolute and relative fitness, which are directly tied to group and individual payoffs. It does not report empirical data but provides analytic conditions for when cooperation (with punishment) is stable and outperforms defection in terms of group productivity and average fitness.",more_positive,"This theoretical paper analyzes the evolutionary stability of punishment-based strategies (TIT FOR TAT and its n-person generalization) in iterated Prisoner's Dilemma and n-person Prisoner's Dilemma games. It shows that the presence of punishment (retaliation) can convert defection into spite, which, under sufficient population structure (multiple groups/dyads), allows cooperative groups to outproduce groups with defectors, thus increasing group efficiency and average payoff. The effectiveness of punishment in maintaining high efficiency depends on the degree of intergroup competition, population structure, and the scope of social interaction. When population structure is weak (e.g., only one group, or high overlap in group membership), punishment is less effective and efficiency is lower.","The paper finds that punishment-based strategies (TFT/NTFT) can maintain high group efficiency and suppress defection when the population is structured into multiple groups or dyads, allowing intergroup competition. The effectiveness of punishment in sustaining cooperation and high payoffs is reduced as the scope of spite (the number of groups a defector can affect) increases or as population structure becomes less partitioned. In the limit of a single group (no structure), punishment cannot prevent defection and efficiency collapses. The analysis generalizes to n-person games, showing that the same logic applies: partitioned populations with group-level competition allow punishment to sustain cooperation and high efficiency, while unstructured populations do not.","This paper provides strong theoretical support for the prediction that enabling punishment in public-goods-game-like environments will increase efficiency (group payoff) relative to control, but only when the game design includes sufficient population structure (multiple groups, limited overlap in group membership, or mechanisms for intergroup competition). If the game is a single group or highly overlapping, punishment will not improve efficiency. The findings are directly relevant for settings where the marginal per-capita return, group size, and population structure can be specified, and they highlight the importance of these dimensions as moderators of punishment's effect on efficiency.",14,7,3,4,6
10.1002_bdm.1810,10.1002_bdm.1810,200,4d923401-6aee-43ae-851c-7a790a640cf3,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,adjacent,adjacent,exact,efficiency_or_payoff,pair performance (sum of points earned by both players over 200 rounds) | joint satisfaction (sum of satisfaction ratings) | mutual cooperation rate (as it directly determines group payoff in IPD),individual cooperation rate | reciprocation (cooperation after cooperation) | punishment (defection after defection),"The main dependent variable is pair performance (joint payoff), which is a direct measure of efficiency in the IPD context. Satisfaction is also reported. Behavioral outcomes (cooperation, reciprocation, punishment) are analyzed as mechanisms.",more_positive,"Increasing the amount of information about interdependence in an iterated prisoner's dilemma (IPD) leads to higher rates of mutual cooperation and significantly improves joint performance (efficiency) and satisfaction. The effect is mediated by increased mutual cooperation, especially when players can observe each other's actions and/or see the full payoff matrix. Punishment (defection after defection) is high and does not vary with information, but reciprocation (cooperation after cooperation) increases with more information.","The paper finds that providing more information about interdependence in a two-player, 200-round IPD increases both mutual cooperation and joint payoffs (efficiency). Four information conditions were tested: No-Info (players unaware of the other), Min-Info (aware of other but cannot see their actions), Mid-Info (can see other's actions and outcomes), and Max-Info (can also see the full payoff matrix). Joint performance (sum of points) was lowest in No-Info and Min-Info, higher in Mid-Info, and highest in Max-Info. The effect of information on performance is fully mediated by mutual cooperation. Punishment (defection after defection) is high in all conditions and does not vary with information. The results suggest that awareness and transparency of interdependence are key to achieving higher efficiency in repeated social dilemmas.","This paper provides strong evidence that, in repeated dyadic social dilemmas structurally similar to the IPD, increasing the amount of information about interdependence (especially showing others' actions and the payoff matrix) leads to higher efficiency (joint payoff). For prediction, if a public-goods-like game allows players to see others' actions and/or the payoff structure, one should expect higher efficiency than in games where such information is hidden. The findings are most directly applicable to two-player, repeated, simultaneous-move games without explicit punishment or reward mechanisms, but the mechanisms (reciprocation, not punishment) may generalize to other settings. The paper does not manipulate punishment cost or technology, nor does it include explicit costly punishment or reward options, so its direct predictive value is limited for games with those features.",14,7,7,4,6
10.1002_bdm.1976,10.1002_bdm.1976,200,9a49f70f-0119-4bfc-b83c-ebbce3a4ee29,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,exact,exact,exact,efficiency_or_payoff,average round win | group efficiency | total earnings,"contribution | punishment assigned | role (strong/weak player) | personality measures (achievement motivation, etc.)","The main dependent variable for the prediction task is average round win (group efficiency). The paper also reports on contributions and punishment behavior, but these are not the primary outcome for efficiency.",less_positive,"The paper finds that while punishment can maintain high contributions in public good games, the combination of unequal and unstable punishment power (where the strong punisher role can change between rounds) leads to increased competition, excessive punishment, and lower group efficiency (payoff) compared to equal, stable punishment power. Instability alone, when combined with inequality, is the key driver of these detrimental effects. When the strong role is assigned based on prosocial behavior, the negative effect on efficiency is less pronounced, but resource waste through punishment persists.","Across three lab experiments, the authors show that in standard public good games with punishment, group efficiency is higher when punishment power is equal and stable. When punishment power is both unequal (one strong punisher, three weak) and unstable (the strong role can change based on performance or prosociality), groups experience more punishment, similar or lower contributions, and significantly lower efficiency (average round win). The negative effect on efficiency is robust to whether the strong role is assigned based on selfish or prosocial behavior. The detrimental effect is not due to inequality alone, but to the combination of inequality and instability, which triggers a 'race for power' and resource waste.","This paper provides strong evidence that, in public good games with punishment, introducing instability in the assignment of punishment power (especially when combined with inequality in punishment effectiveness) reduces group efficiency compared to stable, equal punishment power. For prediction, if the control (punishment disabled) efficiency is known, enabling punishment with equal, stable power is likely to increase efficiency, but enabling punishment with unequal, unstable power is likely to decrease efficiency relative to the equal, stable punishment case. The effect is driven by increased competitive punishment rather than increased cooperation. The findings are directly relevant for settings with 4 players, 10 rounds, continuous contributions, no chat, and full feedback on others' actions.",14,10,10,4,5
10.1002_bdm.2012,10.1002_bdm.2012,200,eb1f444d-a23a-4561-a185-0b63ccf58013,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,amount of money spent on punishment | cooperation rate | harshness of punishment (money spent per punishment event),"probability of cooperation | probability of different types of punishment (moralistic, hypocritical, irrational, antisocial) | gender effects on cooperation and punishment","The main dependent variables are behavioral: cooperation rates and punishment rates/types. The amount of money spent on punishment is reported, but group efficiency or total group payoff is not directly analyzed. The design is a two-player prisoner's dilemma with a costly punishment option, not a standard public goods game.",N/A,"This paper investigates gender effects in a two-player prisoner's dilemma game with a costly punishment option. The main findings are that participants are more likely to cooperate with female partners, which indirectly leads to more opportunities to punish female defectors. However, when controlling for the opportunity to punish (i.e., conditional on cooperation), there is no direct effect of partner gender on the probability or harshness of punishment. Female participants are more likely to cooperate with female partners and more likely to punish than male participants, but the study does not directly analyze group efficiency or total payoffs.","The study finds that costly punishment is used frequently in a two-player prisoner's dilemma with a punishment option, primarily as moralistic punishment (punishing defection after cooperating). Participants spend more money punishing defecting female partners than male partners, but this is due to higher cooperation rates with female partners, not a direct gender bias in punishment. Female participants are more likely to cooperate with and punish female partners, while male participants do not differentiate by partner gender. The presence of punishment by partners increases cooperation rates, but the paper does not report group efficiency or total payoffs, nor does it compare efficiency with and without punishment in a way that would allow direct prediction of efficiency outcomes.","This paper provides evidence that costly punishment is used in a two-player prisoner's dilemma, and that the opportunity to punish is strongly influenced by cooperation rates, which in turn are affected by gender dynamics. However, it does not report group efficiency or total payoffs, nor does it provide a control (no-punishment) condition for direct comparison. The findings suggest that punishment can increase cooperation when the threat of being punished exists, but the lack of efficiency or group payoff data limits its direct utility for predicting efficiency outcomes in public goods games or their variants. The design is adjacent to PGGs, and the behavioral findings may inform models of punishment and cooperation, but not efficiency prediction per se.",14,8,8,5,6
10.1002_bdm.2050,10.1002_bdm.2050,200,cedbabcd-fb91-4377-8b43-8e1d3e023f13,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,exact,exact,exact,mixed,total income (group payoff) | period payoff | efficiency (ratio of actual to maximum possible group payoff),contribution (cooperation) rate | intended punishment | executed punishment | antisocial punishment | punishment of uncooperative individuals | fairness perception | satisfaction | interpersonal trust,"The paper reports both payoff-based outcomes (total income, period payoff, efficiency) and non-payoff behavioral outcomes (contribution, punishment, psychological measures).",mixed,"The study compares three conditions in a repeated public goods game: no punishment, standard peer punishment, and democratic peer punishment (where punishment is only executed if a majority votes for it). Both punishment systems increase cooperation compared to no punishment, but standard peer punishment reduces total group payoff due to punishment costs. Democratic peer punishment increases cooperation further and reduces both total and antisocial punishment, resulting in higher total payoff than standard peer punishment. However, over six rounds, both punishment systems are less efficient than no punishment, though democratic peer punishment may surpass no-punishment in efficiency in the long run as efficiency trends upward while it declines in the no-punishment condition.","Democratic peer punishment in a repeated public goods game leads to higher cooperation and higher total group payoff than standard peer punishment, primarily by reducing costly and antisocial punishment. Over six rounds, both punishment systems are less efficient than no-punishment, but democratic peer punishment's efficiency increases over time and may eventually exceed the no-punishment baseline. Psychological outcomes (fairness, satisfaction, trust) are also highest in the democratic punishment condition. The study provides direct evidence on how the structure of punishment (democratic vs. standard) moderates the efficiency impact of enabling punishment in public goods games.","This paper provides strong evidence that the design of the punishment mechanism (specifically, introducing a democratic voting step for punishment execution) can substantially moderate the efficiency impact of enabling punishment in public goods games. When predicting the effect of enabling punishment, it is important to distinguish between standard peer punishment and democratic peer punishment: standard peer punishment increases cooperation but reduces efficiency due to high punishment costs, while democratic peer punishment increases both cooperation and efficiency relative to standard peer punishment, and may eventually outperform no-punishment in efficiency if the game is long enough. The findings are directly relevant for settings with 4 players, 6 rounds, continuous contributions, no chat, and a punishment cost/impact ratio of 1:3. The results suggest that, all else equal, democratic peer punishment is more likely to yield positive or neutral efficiency effects compared to standard peer punishment, especially as the number of rounds increases.",14,10,10,5,7
10.1002_bdm.2110,10.1002_bdm.2110,200,d6ac9c38-b291-40f6-bda4-c435ac947208,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,exact,exact,adjacent,non_payoff_behavior,,willingness to punish | willingness to reward | frequency of sanctioning | size of sanction assigned | attitude toward noncooperation | ease of justifying punishment | emotional reactions,"The main dependent variables are the frequency and size of costly punishment and reward assigned by third-party observers in a public goods game, as well as attitudinal and justification measures in a scenario study. No group payoff, efficiency, or welfare outcomes are reported.",N/A,"This paper investigates how the timing of sanctioning decisions (before vs. after observing (non)cooperation) affects the willingness of third-party observers to assign costly rewards or punishments in public goods game settings. Across multiple experiments, participants were less likely to sanction (and did so less severely) when making decisions before the target behavior occurred, compared to after. The effect is attributed to nonconsequential reasoning under uncertainty. However, the study does not report on group efficiency, total payoff, or welfare outcomes.","The main finding is that people are less willing to assign costly rewards or punishments when they must decide before observing others' (non)cooperation, compared to after. This effect is robust across both dichotomous and continuous public goods game variants, and for both reward and punishment, though the effect is stronger for punishment. The effect is not explained by differences in emotional reactions. The results are interpreted as evidence for nonconsequential reasoning: uncertainty about future behavior reduces decisiveness and willingness to sanction. The study does not measure or report group efficiency or total payoffs, so the direct effect of punishment on efficiency cannot be assessed.","This paper provides strong evidence that the willingness to use costly punishment (and reward) in public goods games is lower when sanctions must be decided before observing others' behavior, compared to after. For prediction tasks, this suggests that the timing of sanctioning opportunities (ex ante vs. ex post) is a critical moderator of the behavioral use of punishment, which could in turn affect efficiency if actual group payoffs were measured. However, because the study does not report efficiency or group payoff outcomes, it cannot directly inform predictions of efficiency changes due to punishment. The findings are most useful for understanding when punishment is likely to be used, not its payoff consequences.",14,13,13,4,5
10.1002_bdm.2134,10.1002_bdm.2134,200,e4cf5063-817e-4002-badf-71f7ac001d31,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,close,none,adjacent,non_payoff_behavior,,individual withdrawal amount from common pool | perceived greed ratings | adjustment of withdrawal in response to others' behavior | reputation management (attempted) | compare-and-adjust process,"The main dependent variable is the amount withdrawn from the common pool (i.e., individual extraction/defection), and perceptions of greed. No direct analysis of group efficiency, total group payoff, or welfare is reported. There is mention of payoffs in the procedure, but the analysis and results focus on behavioral responses (withdrawal amounts) and perceptions, not on efficiency or group-level payoff.",N/A,"This paper investigates whether perceptions of greed in a common pool resource (CPR) dilemma (a close variant of the public goods game) lead to increased greedy behavior in subsequent rounds or interactions. Across four lab experiments, the authors find that while participants reliably perceive high withdrawals as greedy, these perceptions do not mediate or drive subsequent increases in greedy behavior. Instead, behavioral contagion is observed: participants adjust their own withdrawals upward in response to high withdrawals by others, but this is driven by observed behavior (norm learning or compare-and-adjust) rather than by perceptions of greed. No punishment, sanction, or reward mechanisms are present in the design, and no direct analysis of efficiency or group payoff is conducted.","The main finding is that in a two-person CPR dilemma, participants increase their own withdrawals in response to high withdrawals by their partner, both when interacting with the same partner and with a new partner. However, this behavioral contagion is not mediated by perceptions of greed: participants' ratings of their partner's greediness do not predict their own subsequent behavior after controlling for observed withdrawals. Information about an opponent's greedy reputation (as rated by a previous partner) does not affect new participants' behavior. Attempts to manage one's own reputation for greed (when warned it will be shared) are weak and not statistically significant. The mechanism for behavioral contagion appears to be norm learning or direct response to observed behavior, not to perceptions or reputational information. No punishment, sanction, or reward options are present, and no group efficiency or payoff-based outcomes are analyzed.","This paper does not provide direct evidence for the effect of punishment on efficiency in public-goods-like games, as no punishment or sanction mechanism is present in any condition. The design is a two-person CPR dilemma with continuous withdrawal choices, no communication, and no explicit efficiency or group payoff analysis. The findings are relevant for understanding behavioral contagion and norm learning in the absence of punishment, but do not inform the prediction of efficiency changes when punishment is enabled. The results may be useful as a control or baseline for environments without punishment, showing that behavioral contagion (increased defection in response to observed defection) can occur, but do not address the effect of introducing punishment.",14,7,7,5,5
10.1002_bdm.2208,10.1002_bdm.2208,200,1a4defbc-a2f3-44e8-9db6-992eccf6b5b7,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,adjacent,exact,adjacent,non_payoff_behavior,,Amount transferred as punishment (by third party) | Amount transferred as compensation (by third party) | Gender differences in punishment and compensation behavior,"The main dependent variables are the amounts of money (Talers) that third-party observers transfer to punish a perpetrator or compensate a victim after observing an unfair allocation. No group efficiency, welfare, or total payoff outcomes are reported. The study focuses on behavioral choices (punishment/compensation) rather than on group or collective payoffs.",N/A,"This paper experimentally investigates gender differences in third-party punishment and compensation behavior in response to observed unfairness, using a compensation/punishment game across 11 nations. The main finding is that there are no robust gender differences in the tendency to punish or compensate, and both men and women prefer compensation over punishment. The study does not report on group efficiency or collective payoff outcomes, and the design is not a standard public goods game but a third-party punishment/compensation paradigm.","Across two large studies (one multinational, one German student sample), there is no evidence for systematic gender differences in third-party punishment or compensation behavior in response to unfairness. Both men and women are more likely to compensate the victim than to punish the perpetrator. Increasing the effectiveness of punishment (punishment impact per unit cost) does not substantially change this pattern. The study does not analyze or report group efficiency, welfare, or total payoff, and the game is not a repeated public goods game but a one-shot third-party punishment/compensation scenario.","This paper provides evidence about the behavioral use of punishment and compensation options in a third-party context, but does not report efficiency or group payoff outcomes. The design is adjacent to public goods games, as it involves norm enforcement and costly punishment, but is not a repeated or group-based contribution game. The main decision-relevant finding is that, even when punishment is made more effective, participants prefer compensation over punishment, suggesting that punishment may be underutilized in similar designs. However, since efficiency or group payoff is not measured, the paper does not directly inform predictions about the effect of punishment on efficiency in public goods games. The evidence is most relevant for understanding behavioral preferences for punishment versus compensation, not for predicting efficiency outcomes.",14,11,11,4,5
10.1002_bdm.2243,10.1002_bdm.2243,200,4fd7bf83-45a5-4c4a-8848-3dbb476f6bae,gpt-4.1-2025-04-14,ok,,,empirical,experimental,lab_experiment,close,exact,adjacent,non_payoff_behavior,,cooperation decisions (degree of cooperation/contribution/taking/leaving/giving/keeping) | punishment decisions (frequency of assigning decrement points) | reward decisions (frequency of assigning increment points),"The main dependent variables are behavioral: cooperation (how much is contributed/taken/left/given/kept) and sanctioning (punishment or reward assigned to others). No direct analysis of group efficiency, total payoff, welfare, or surplus is reported. Payoff functions are described, but outcomes are not analyzed in terms of efficiency or group payoff.",N/A,"This paper compares behavior in common resource dilemmas (CRDs) and public good dilemmas (PGDs) using structurally equivalent games with and without punishment or reward. The main findings are that participants are more cooperative in CRDs than in PGDs, are more willing to punish in CRDs, and more willing to reward in PGDs. The study does not report efficiency or group payoff outcomes, so the effect of punishment on efficiency cannot be directly determined.","The paper finds that, holding the underlying payoff structure constant, participants are more cooperative in CRDs than in PGDs. Punishment is used more frequently in CRDs, while reward is used more frequently in PGDs. These effects are robust to changes in the framing of the action (taking/leaving/giving/keeping). However, the study does not report on group efficiency, total payoff, or welfare, so it does not provide direct evidence about the effect of punishment on efficiency in public goods games or their variants.","This paper provides informative evidence about how the willingness to punish and cooperate differs between CRDs and PGDs, but it does not report efficiency or group payoff outcomes. For the downstream prediction task (predicting efficiency with and without punishment), this paper does not provide direct evidence, but it does suggest that punishment is more likely to be used in CRDs and that cooperation is higher in CRDs. The game design dimensions are well described, so the paper is useful for understanding behavioral responses to punishment opportunities, but not for predicting efficiency effects.",14,12,12,4,6
