custom_id,experiment_id,experiment_id_reason,experiment_id_confidence,is_human_subject,is_human_subject_reason,is_human_subject_confidence,simulation,simulation_reason,simulation_confidence,analytical_model,analytical_model_reason,analytical_model_confidence,CONFIG_playerCount,CONFIG_playerCount_reason,CONFIG_playerCount_confidence,CONFIG_numRounds,CONFIG_numRounds_reason,CONFIG_numRounds_confidence,CONFIG_allOrNothing,CONFIG_allOrNothing_reason,CONFIG_allOrNothing_confidence,CONFIG_defaultContribProp,CONFIG_defaultContribProp_reason,CONFIG_defaultContribProp_confidence,CONFIG_MPCR,CONFIG_MPCR_reason,CONFIG_MPCR_confidence,CONFIG_chat,CONFIG_chat_reason,CONFIG_chat_confidence,CONFIG_showOtherSummaries,CONFIG_showOtherSummaries_reason,CONFIG_showOtherSummaries_confidence,CONFIG_showPunishmentId,CONFIG_showPunishmentId_reason,CONFIG_showPunishmentId_confidence,CONFIG_showRewardId,CONFIG_showRewardId_reason,CONFIG_showRewardId_confidence,CONFIG_showNRounds,CONFIG_showNRounds_reason,CONFIG_showNRounds_confidence,CONFIG_punishmentExists,CONFIG_punishmentExists_reason,CONFIG_punishmentExists_confidence,CONFIG_punishmentCost,CONFIG_punishmentCost_reason,CONFIG_punishmentCost_confidence,CONFIG_punishmentTech,CONFIG_punishmentTech_reason,CONFIG_punishmentTech_confidence,CONFIG_rewardExists,CONFIG_rewardExists_reason,CONFIG_rewardExists_confidence,CONFIG_rewardCost,CONFIG_rewardCost_reason,CONFIG_rewardCost_confidence,CONFIG_rewardTech,CONFIG_rewardTech_reason,CONFIG_rewardTech_confidence,CONFIG_endowment,CONFIG_endowment_reason,CONFIG_endowment_confidence,DV_contributionRate,DV_contributionRate_reason,DV_contributionRate_confidence,DV_efficiency,DV_efficiency_reason,DV_efficiency_confidence,participant_country,participant_country_reason,participant_country_confidence,participant_age,participant_age_reason,participant_age_confidence,participant_gender,participant_gender_reason,participant_gender_confidence,participant_education,participant_education_reason,participant_education_confidence,experiment_environment,experiment_environment_reason,experiment_environment_confidence,other_game_info,other_game_info_reason,other_game_info_confidence
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 1 - Anonymous,Paper labels this as Experiment 1 with two conditions: Anonymous and Experimenter; this entry is the Anonymous condition.,1,True,Undergraduates participated in lab sessions making punishment decisions.,1,False,"All data come from human participants, no agent-based or numerical simulation described.",1,False,No formal mathematical model or closed-form analysis presented as an experiment.,1,1,Punishment decision is made individually by a third party about a fixed DM2; no strategic interaction among punishers.,0.8,1,Punishment phase is a one-shot decision with a single opportunity to punish.,1,1,"Participants could spend 'none, some, or all' of the US$7 in US$1 increments, i.e., any amount in range.",1,0,All $7 starts as the participant’s own money; nothing is pre-allocated to punishment.,1,N/R,This is not a standard public goods game; no marginal per capita return is defined.,0,0,No communication among participants is mentioned; decisions made privately by paper.,0.9,0,Participants only see a single game piece and their own endowment; no summaries of others’ behavior or payoffs.,1,0,"In Anonymous condition, instructions emphasize that no one, including experimenter, can know how much any particular participant punished.",1,0,No reward mechanism exists in the design.,1,1,Design clearly described as a single punishment decision; participants know it is a one-shot task.,0.9,1,Participants can pay to reduce DM2’s payoff; this is a costly punishment mechanism.,1,1,Each US$1 spent by participant reduces DM2’s payoff by US$3.,1,3,Text: 'Each dollar spent reduced DM2's payoff by US$3.',1,0,No option to increase DM2’s payoff; only deductions are possible.,1,N/A,No reward mechanism in this experiment.,1,N/A,No reward mechanism in this experiment.,1,7,Participants in punishment phase were 'given US$7' to allocate between punishment and own payoff.,1,N/R,"Study reports proportion who punished and amounts spent, not normalized contribution rates.",0,N/R,No calculation of group efficiency relative to a social optimum is provided.,0,USA,"Participants were undergraduates at the University of Pennsylvania in Philadelphia, USA.",1,N/R,Experiment 1 explicitly states that no demographic information was collected.,1,N/R,Experiment 1 states no demographic information was collected.,1,Undergraduate students,Participants are described as undergraduates at the University of Pennsylvania.,1,On site,Sessions held in the Penn Laboratory for Evolutionary Experimental Psychology with physical stations and paper decisions.,1,"Third-party punishment of a single Trust Game outcome where DM1 trusted and DM2 chose maximally selfish payoff (US$1, US$39). One-shot decision; punishment averaged across third parties and applied to that DM2.",Method section for Experiment 1 describes Trust Game stage and subsequent punishment stage using a photocopied game piece.,1
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 1 - Experimenter,Paper labels this as Experiment 1 with two conditions; this entry is the Experimenter (observed) condition.,1,True,Undergraduates made punishment decisions in a lab setting.,1,False,No computer simulation; all data from human participants.,1,False,No analytical model is run as an experiment.,1,1,Each participant independently decides how much to punish; no interaction among punishers.,0.8,1,Single punishment decision opportunity.,1,1,Participants could spend any amount from 0 to 7 in US$1 increments.,1,0,All US$7 starts as participant’s own money; none pre-committed to punishment.,1,N/R,Not a public goods game; no MPCR defined.,0,0,No communication among participants is described.,0.9,0,Participants only see the specific Trust Game outcome and their own endowment.,1,1,"Participants were informed that their decision would be known to the experimenter, who counted the amount spent.",1,0,No reward option exists.,1,1,Participants know they are making a one-time decision in this session.,0.9,1,Participants can pay to reduce DM2’s payoff.,1,1,Each US$1 spent reduces DM2’s payoff by US$3.,1,3,Explicitly stated conversion rate of 1:3.,1,0,No mechanism to increase DM2’s payoff.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,7,Punishers were given US$7 to allocate.,1,N/R,"Paper reports proportion punishing and amounts, not normalized rates.",0,N/R,No efficiency metric reported.,0,USA,Undergraduates at University of Pennsylvania in USA.,1,N/R,Experiment 1 collected no demographic information.,1,N/R,Experiment 1 collected no demographic information.,1,Undergraduate students,Participants described as undergraduates.,1,On site,Conducted in PLEEP lab with physical stations and paper decisions.,1,"Third-party punishment of a Trust Game outcome where DM1 trusted and DM2 chose maximally selfish payoff (US$1, US$39). One-shot punishment; experimenter observes individual punishment amounts.",Experiment 1 procedure describes Trust Game stage and Experimenter condition details.,1
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 2 - Anonymous,Paper labels this as Experiment 2 with three conditions; this entry is the Anonymous condition.,1,True,Undergraduate participants made punishment decisions in a lab.,1,False,No computational simulation; all data from human subjects.,1,False,No analytical model run as an experiment.,1,1,Each participant independently decides how much to punish a fixed DM2; no interaction among punishers.,0.8,1,Single punishment decision per participant.,1,1,Participants could use US$0-10 in US$1 increments to punish.,1,0,All US$10 endowment starts as participant’s own money; none pre-allocated to punishment.,1,N/R,Not a public goods game; no MPCR defined.,0,0,No communication among participants is described.,0.9,0,Participants see only the specific Prisoner’s Dilemma outcome and their own endowment.,1,0,Anonymous condition uses sealed envelopes and bin; designed so no one can link individuals to punishment amounts.,1,0,No reward mechanism exists.,1,1,Participants know they are making a one-shot decision in this session.,0.9,1,Participants can pay to deduct from DM2’s payoff.,1,1,Each US$1 spent reduces DM2’s payoff by US$3.,1,3,Text: 'Each dollar spent reduced DM2's payoff by US$3.',1,0,No option to increase DM2’s payoff.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,10,Participants had 'an endowment of US$10 in US$1 bills' to use for punishment or keep.,1,N/R,"Paper reports proportion punishing and mean expenditure, not normalized contribution rate.",0.2,N/R,No efficiency measure relative to maximum group payoff is reported.,0,USA,Undergraduates at University of Pennsylvania in USA.,1,"Mean 21 (SD 3), minimum 18",Experiment 2 reports all participants at least 18 years old with mean (SD) age 21 (3).,1,"72 female, 31 male (across all Experiment 2 conditions)","Experiment 2 reports total sample composition: 72 female, 31 male; not broken down by condition.",0.8,Undergraduate students,Participants described as undergraduates.,1,On site,Seven experimental sessions held in lab; paper describes physical sessions and envelopes.,1,"Third-party punishment of a sequential Prisoner’s Dilemma outcome where DM1 cooperated and DM2 defected. Selected game had mutual cooperation payoffs (US$25, US$25) and actual outcome (US$0, US$30). One-shot punishment; each dollar spent reduces DM2’s payoff by US$3.",Experiment 2 procedure describes sequential PD stage and selection of a Cooperate-Defect game piece with specified payoffs.,1
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 2 - Experimenter,Experiment 2 includes an Experimenter condition where experimenter knows punishment decisions.,1,True,Undergraduate participants made decisions in lab sessions.,1,False,No simulation; empirical human data only.,1,False,No analytical model is run as an experiment.,1,1,Each participant independently chooses punishment; no strategic interaction among punishers.,0.8,1,Single punishment decision per participant.,1,1,Participants could spend any amount from US$0 to US$10 in US$1 increments.,1,0,All US$10 starts as participant’s own money; none pre-committed to punishment.,1,N/R,Not a public goods game; MPCR not defined.,0,0,No communication among participants is described.,0.9,0,Participants only see the specific PD outcome and their own endowment.,1,1,"Experimenter condition: participants are told their decision will be known to the experimenter, who observes/counts punishment.",1,0,No reward mechanism exists.,1,1,Participants know they are making a one-shot decision.,0.9,1,Participants can pay to deduct from DM2’s payoff.,1,1,Each US$1 spent reduces DM2’s payoff by US$3.,1,3,Explicitly stated 1:3 deduction ratio.,1,0,No option to increase DM2’s payoff.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,10,Participants had an endowment of US$10 in US$1 bills.,1,N/R,"Paper reports proportion punishing (65%) and mean expenditure (US$2.54), but not normalized contribution rate.",0.2,N/R,No efficiency metric reported.,0,USA,Undergraduates at University of Pennsylvania in USA.,1,"Mean 21 (SD 3), minimum 18",Experiment 2 reports age distribution for the full sample; conditions are subsets.,0.9,"72 female, 31 male (across all Experiment 2 conditions)","Only aggregate gender counts for Experiment 2 are reported, not by condition.",0.8,Undergraduate students,Participants described as undergraduates.,1,On site,Sessions held in lab with physical presence and paper/envelope procedures.,1,"Third-party punishment of a sequential Prisoner’s Dilemma outcome where DM1 cooperated and DM2 defected. Selected game had mutual cooperation payoffs (US$25, US$25) and actual outcome (US$0, US$30). One-shot punishment; experimenter observes individual punishment amounts.",Experiment 2 procedure and description of Experimenter condition.,1
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 2 - Participants,Experiment 2 includes a Participants condition where all participants and experimenters know each person’s punishment decision.,1,True,Undergraduate participants made decisions in lab sessions.,1,False,No simulation; empirical human data only.,1,False,No analytical model is run as an experiment.,1,1,"Each participant independently chooses punishment; although they later announce amounts, the decision itself is individual and one-shot.",0.7,1,Single punishment decision per participant.,1,1,Participants could spend any amount from US$0 to US$10 in US$1 increments.,1,0,All US$10 starts as participant’s own money; none pre-allocated to punishment.,1,N/R,Not a public goods game; MPCR not defined.,0,0,No pre-decision communication is described; only post-decision announcements of outcomes and amounts.,0.8,1,"After decisions, each participant stands and announces the outcome and amount spent; thus everyone learns others’ punishment amounts.",1,1,"Participants publicly announce their own punishment amount, linking identity to decision for all others and experimenters.",1,0,No reward mechanism exists.,1,1,Participants know they will make a single decision and then announce it.,0.9,1,Participants can pay to deduct from DM2’s payoff.,1,1,Each US$1 spent reduces DM2’s payoff by US$3.,1,3,Explicitly stated 1:3 deduction ratio.,1,0,No option to increase DM2’s payoff.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,10,Participants had an endowment of US$10 in US$1 bills.,1,N/R,"Paper reports proportion punishing (67%) and mean expenditure (US$3.17), but not normalized contribution rate.",0.2,N/R,No efficiency metric reported.,0,USA,Undergraduates at University of Pennsylvania in USA.,1,"Mean 21 (SD 3), minimum 18",Experiment 2 reports age distribution for the full sample; conditions are subsets.,0.9,"72 female, 31 male (across all Experiment 2 conditions)","Only aggregate gender counts for Experiment 2 are reported, not by condition.",0.8,Undergraduate students,Participants described as undergraduates.,1,On site,Sessions held in lab with physical presence and public announcements.,1,"Third-party punishment of a sequential Prisoner’s Dilemma outcome where DM1 cooperated and DM2 defected. Selected game had mutual cooperation payoffs (US$25, US$25) and actual outcome (US$0, US$30). One-shot punishment; after decisions, each participant publicly announces the outcome and their punishment amount to all others and experimenters.",Experiment 2 procedure and description of Participants condition.,1
10.1038_nclimate1927.md,Global institution (simulation),Paper contrasts cases 'under one global institution' vs 'under local institutions' and 'absence of any institution'; treat each as a separate experiment condition.,0.95,False,Study describes an evolutionary game-theoretic model and stochastic dynamics in a finite population with no mention of recruiting human participants.,1,True,"Methods describe a Markov process, stationary distributions, and parameter sweeps (e.g., Z=100, N=4, r varied), which are numerical simulations of an evolutionary model.",1,True,"They derive payoff functions, fitness, and master equation; analytical stationary distributions and gradients of selection are computed alongside simulations.",0.9,4,"Methods and Fig. 1 caption: 'groups of size N', with parameters 'N=4' used in figures.",0.95,1,Model is a one-shot CRD per interaction embedded in evolutionary time; no repeated rounds within a game are described.,0.7,1,"Each individual 'may act as a cooperator (C), defector (D) or punisher (P)'; Cs and Ps contribute a fixed fraction c of benefit b, Ds contribute 0. This is a discrete strategy choice, not an all-or-nothing contribution decision within a continuous range, so players choose among strategies rather than varying contribution level; coded as 1 (can choose any of the discrete options, not forced all-or-nothing within a single role).",0.6,N/A,"No human subjects; endowment allocation is defined by strategies, not an interface default.",1,N/R,Threshold CRD with risk of losing endowment; no linear multiplier or marginal per capita return is specified.,0.9,N/A,No human participants or communication; purely evolutionary dynamics.,1,0,No interface or feedback to human players; model only tracks payoffs and configurations.,1,N/A,Punishment is institutional and anonymous within the model; no identities or displays to humans.,1,N/A,"No reward mechanism is modelled, only punishment.",1,0,No human interface; number of evolutionary time steps is not shown to agents.,1,1,Global sanctioning institution punishes defectors by fine π_f when enough punishers contribute.,1,0.03,Fig. 1 caption: 'π_t = 0.03' is the punishment tax contributed by punishers to the institution.,0.95,0.3,Fig. 1 caption: 'π_f = 0.3' is the punishment fine applied to each defector when institution is active; interpreted as effect per unit of institutional funding.,0.9,0,Only punishment institutions are described; no rewarding of cooperators.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,1,Each individual starts with benefit b; only c/b=0.1 is given. Set b=1 without loss of generality to represent normalized endowment.,0.5,N/R,"Outcomes reported as group achievement η_G and institution prevalence η_I, not explicit average contribution rates.",0.7,N/R,No explicit measure of efficiency (payoff relative to maximum) is reported.,0.7,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,No human,Purely theoretical and computational evolutionary model.,1,"Collective-risk dilemma (CRD) threshold public goods game with strategies C, D, P; group size N=4; population size Z=100; contributors (C,P) pay cost c=b*0.1; if number of contributors in group < n_pg (75% of group size in figures), all lose remaining endowment with probability r; otherwise keep remaining endowment. Punishers also pay tax π_t=0.03 to a global institution; if number of punishers in population ≥ n_P (25% of population in figures), each defector is fined π_f=0.3 by the institution. Evolutionary dynamics via pairwise comparison with intensity β=5 and mutation probability μ (often μ=1/Z).","Summarized from main text, Fig. 1 caption, and Methods.",0.95
10.1038_nclimate1927.md,Local institutions (simulation),Condition where 'sanctions are enacted by local institutions' contrasted with global and no-institution cases.,0.95,False,Same evolutionary simulation framework; no human participants.,1,True,Local-institution case is implemented within the same numerical evolutionary model.,1,True,"Same analytical framework (payoff functions, master equation) applies.",0.9,4,Groups of size N=4 as in Fig. 1 and Methods.,0.95,1,Single-shot CRD per interaction within evolutionary dynamics.,0.7,1,"Same discrete strategy choice (C, D, P) with fixed contribution c for C and P, 0 for D.",0.6,N/A,No human interface; contributions determined by strategy.,1,N/R,Threshold risk game; no linear MPCR specified.,0.9,N/A,No human communication.,1,0,No human interface; only model state.,1,N/A,Institutional punishment without identities or displays.,1,N/A,No reward mechanism.,1,0,No human interface.,1,1,Local sanctioning institutions punish defectors at group level when enough punishers contribute.,1,0.03,Same punishment tax π_t=0.03 used for both global and local institutions (Fig. 1 caption).,0.95,0.3,Punishment fine π_f=0.3 applied to each defector in groups where j_P ≥ n_P.,0.9,0,Only punishment institutions are modelled.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,1,Same normalized endowment b=1 assumption as global case; only c/b=0.1 is specified.,0.5,N/R,"Outcomes reported as η_G and η_I, not explicit contribution rates.",0.7,N/R,No explicit efficiency metric reported.,0.7,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,No human,Purely theoretical and computational.,1,"Same CRD as global case: population size Z=100; group size N=4; contributors (C,P) pay cost c=b*0.1; threshold n_pg=75% of group size in figures; if contributors < n_pg, all lose remaining endowment with probability r; otherwise keep it. Punishers pay tax π_t=0.03 to a local institution; if number of punishers in a group j_P ≥ n_P (25% of group in figures), each defector in that group is fined π_f=0.3. Evolutionary dynamics via pairwise comparison with intensity β=5 and mutation probability μ (often μ=1/Z).","Summarized from main text, Fig. 1 caption, and Methods for local-institution case.",0.95
10.1038_nclimate1927.md,No institution (baseline simulation),Condition 'in the absence of any institution' used as baseline in Fig. 1 and text.,0.95,False,Same evolutionary simulation framework; no human participants.,1,True,Baseline is the same CRD evolutionary model without punishment institutions.,1,True,Based on earlier analytical model of CRD (ref. 6) and same methods.,0.9,4,Groups of size N=4 as in Fig. 1 and Methods.,0.95,1,Single-shot CRD per interaction within evolutionary dynamics.,0.7,1,"Same discrete strategy set (here effectively C and D, as P is absent) with fixed contribution c for C and 0 for D.",0.6,N/A,No human interface; contributions determined by strategy.,1,N/R,Threshold risk game; no linear MPCR specified.,0.9,N/A,No human communication.,1,0,No human interface.,1,N/A,No punishment mechanism.,1,N/A,No reward mechanism.,1,0,No human interface.,1,0,Explicitly 'in the absence of any institution'; no sanctions.,1,N/A,No punishment mechanism.,1,N/A,No punishment mechanism.,1,0,No reward mechanism described.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,1,Same normalized endowment b=1 assumption; only c/b=0.1 is specified.,0.5,N/R,Outcomes reported as η_G; contribution rates not explicitly given.,0.7,N/R,No explicit efficiency metric reported.,0.7,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,No human,Purely theoretical and computational.,1,"Same CRD structure as other conditions but without punishers or institutions: population size Z=100; group size N=4; strategies C and D; contributors (C) pay cost c=b*0.1; if number of contributors in group < n_pg (75% of group size in figures), all lose remaining endowment with probability r; otherwise keep it. Evolutionary dynamics via pairwise comparison with intensity β=5 and mutation probability μ (often μ=1/Z).","Summarized from main text, Fig. 1 caption, and Methods for the no-institution baseline.",0.95
10.1016_j.jpubeco.2015.12.012.md,Positive emotions / Without announcement,One of four between-subject treatments in the 2x2 design: positive vs negative emotions crossed with punishment stage announcement vs no announcement.,1,True,Laboratory experiment with student subjects making contribution and punishment decisions.,1,False,No computer simulations; all data from human participants.,1,False,"Paper reports an experimental design and regressions, not a formal analytical model as a standalone experiment.",1,3,Subjects randomly assigned to three-person groups.,1,1,Game is explicitly described as one-shot.,1,1,"Each subject chooses how many of 20 tokens to contribute; any integer amount allowed, not just all-or-nothing.",1,0,All 20 tokens are initially endowed to private accounts; contributions are voluntary transfers to the project.,1,0.5,Each token contributed increases each group member’s payoff by 0.5 ECUs; this is the marginal per capita return.,1,0,No mention of communication; standard anonymous VCM with no chat.,0.9,1,In stage 2 subjects see the profile of contributions of the other two group members before punishing.,1,0,No indication that identities are revealed; standard anonymous lab VCM with punishment.,0.8,0,No reward mechanism exists in the design.,1,1,Game is one-shot and this is clear in the instructions; subjects know there is only one round.,0.9,1,Second stage allows assignment of costly punishment points.,1,1,Each punishment point costs the punisher 1 ECU.,1,3,Each punishment point reduces recipient’s income by 3 ECUs.,1,0,Only costly punishment points are available; no positive rewards.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,20,Each subject is endowed with 20 tokens.,1,6.19,Table 3 reports average contribution 6.19 tokens in this treatment.,1,N/R,No explicit efficiency ratio (actual/maximum) reported by treatment.,0,UK,"Subjects recruited at University of Birmingham, UK.",1,N/R,No age information reported.,0,Mixed; proportion N/R,"Gender dummy used in regressions, but no breakdown by treatment.",0.6,University students,"Subjects recruited at University of Birmingham; typical lab pool is students, though not explicitly stated.",0.7,On site,Computerised lab experiment at University of Birmingham using z-Tree.,1,"One-shot three-person VCM with punishment; positive emotion (happiness) induced via Mr. Bean video; subjects told there are two stages but not the content of the second stage ex ante. After watching the clip and reporting emotions, they choose contributions, then observe others’ contributions and can assign up to 5 punishment points to each other member.",Summary of design details specific to this treatment from Sections 2.1 and 2.2 and footnote 9.,1
10.1016_j.jpubeco.2015.12.012.md,Negative emotions / Without announcement,Second treatment cell: negative emotions crossed with no announcement of punishment stage.,1,True,Same lab experiment with human participants.,1,False,No simulations described.,1,False,No separate analytical model as an experiment.,1,3,Groups of three in all treatments.,1,1,Game is one-shot.,1,1,Contribution choice 0–20 tokens.,1,0,Endowment initially private.,1,0.5,Each contributed token yields 0.5 ECUs per group member.,1,0,No communication mentioned.,0.9,1,Subjects see others’ contribution profiles before punishing.,1,0,No indication of identity revelation.,0.8,0,No rewards.,1,1,One-shot nature is known.,0.9,1,Second-stage punishment present in all main treatments; here not announced ex ante.,1,1,1 ECU per punishment point.,1,3,Each point reduces recipient’s payoff by 3 ECUs.,1,0,No reward option.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,20,20-token endowment.,1,4.91,Table 3: average contribution 4.91 tokens in this treatment.,1,N/R,No explicit efficiency ratio by treatment.,0,UK,University of Birmingham subject pool.,1,N/R,Age not reported.,0,Mixed; proportion N/R,Gender used as control but no breakdown.,0.6,University students,Recruited at a university; typical lab pool.,0.7,On site,Computerised lab experiment at University of Birmingham.,1,Same one-shot three-person VCM with punishment as other treatments; negative emotion (anger) induced via 'My Bodyguard' bullying clip. Subjects told there are two stages but not the content of the second stage until it begins.,Design description and mood induction details; this cell differs only in induced mood and lack of ex ante announcement of punishment content.,1
